hsn_code,hsn_code_4_digits,details,gst_rate
0101.00.00,101,"Horses, asses, mules and hinnies, live",0
0101.11.00,101,Purebred breeding animals,0
0101.19.00,101,Other horses,0
0101.20.00,101,"Asses, mules, and hinnies",0
0101.21.00,101,Live Horses,12
0101.29.00,101,Live Horses,12
0102.00.00,102,"Bovine animals, live",0
0102.10.00,102,Purebred breeding animals,0
0103.00.00,103,"Swine, live",0
0103.10.00,103,Purebred breeding animals,0
0103.91.00,103,Weighing less than 50 (11023 lb) each,0
0103.92.00,103,Weighing 50 (11023 lb) or more each,0
0104.00.00,104,"Sheep and goats, live",0
0104.10.00,104,Sheep,0
0104.20.00,104,Goats,0
0105.00.00,105,"Chickens, ducks, geese, turkeys, and guineas, live",0
0105.11.00,105,"Chickens, breeding stock, whether or not purebred: layer-type (egg-type) , broiler-type
(meat-type)",0
0105.19.00,105,"Turkeys, ducks, geese and guineas",0
0105.91.00,105,Chickens,0
0105.99.00,105,"Chickens, ducks, geese, turkeys, and guineas, live: Other",0
0106.00.00,106,"Animals, live, nesoi nesoi - not elsewhere specified of indicated.",0
0106.00.00,106,Rabbits and hares,0
0201.00.00,201,"Meat of bovine animals, fresh or chilled",0
0201.00.00,201,"Meat of bovine animals,frozen",12
0201.10.00,201,"Carcasses and half-carcasses, veal, other - chilled or fresh",0
0201.10.00,201,"Carcasses and half-carcasses, veal, other - frozen",12
0201.20.00,201,Other cuts with bone in: processed & other - chilled or fresh,0
0201.20.00,201,Other cuts with bone in: processed & other - frozen,12
0201.30.00,201,Boneless: processed & other chilled or fresh,0
0201.30.00,201,Boneless: processed & other forzen,12
0202.00.00,202,"Meat of bovine animals, frozen",12
0202.10.00,202,"Carcasses and half-carcasses, veal & other",12
0202.20.00,202,Meat of bovine animals with bone in (frozen),12
0202.30.00,202,"Boneless, processed frozen",12
0203.00.00,203,"Meat of swine (pork), fresh, chilled",0
0203.00.00,203,"Meat of swine (pork), frozen",12
0203.11.00,203,Carcasses and half-carcasses - fresh or chilled,0
0203.12.00,203,"Hams, shoulders and cuts thereof, with bone in processed - fresh or chilled",0
0203.19.00,203,"Other, proces & other - fresh or chilled",0
0203.21.00,203,Carcasses and half-carcasses - frozen,12
0203.22.00,203,"Hams, shoulders and cuts thereof, with bone in processed - frozen",12
0203.29.00,203,"Other, processed & other",12
0204.00.00,204,"Meat of sheep or goats, fresh, chilled or frozen",12
0204.10.00,204,"Carcasses and half-carcasses of lamb, fresh or chilled other meat of sheep, fresh or chilled",0
0204.21.00,204,Carcasses and half-carcasses fresh or chilled,0
0204.22.00,204,Other cuts with bone in - fresh or chilled,0
0204.23.00,204,Boneless - fresh or chilled,0
0204.30.00,204,"Carcasses and half-carcasses of lamb, frozen other meat of sheep, frozen",12
0204.41.00,204,Carcasses and half-carcasses - frozen,12
0204.42.00,204,Other cuts with bone in - frozen,12
0204.43.00,204,Boneless - frozen,12
0204.50.00,204,Meat of goats - frozen,12
0205.00.00,205,"Meat of horses, asses, mules, hinnies - fresh and chilled",0
0205.00.00,205,"Meat of horses, asses, mules, hinnies - frozen",12
0206.00.00,206,"Edible offal, bovine animals, swine, sheep, goat, horses, asses, mules or hinnies - fresh
and chilled",0
0206.00.00,206,"Edible offal, bovine animals, swine, sheep, goat, horses, asses, mules or hinnies - frozen",12
0206.10.00,206,"Ediblke offal of bovine animals, fresh or chilled of bovine animals - fresh and chilled",0
0206.21.00,206,Tongues - fresh or chilled,0
0206.22.00,206,Livers - fresh and chilled,0
0206.29.00,206,Other edible offal of bovine animals  fresh or chilled,0
0206.30.00,206,"Of swine (pork), fresh or chilled of swine (pork), fresh and chilled",0
0206.41.00,206,Edible offal of swine Livers - frozen,12
0206.49.00,206,Other edible offal of swine (frozen),12
0206.80.10,206,"Edible offal of sheep (including lamb) of goats, horses, asses, mules or hinnies - fresh
and chilled",0
0206.80.90,206,"Other, edible offal of sheep (including lamb) of goats, horses, asses, mules or hinnies -
fresh and chilled",0
